id,title,price,volume,type,alcohol,sweet,sour,body,cool,food,material,company,link,flavour_type
247,솔청정막걸리,"2,000",750ml,탁주,6,3.5,2,3,1,,국내산 쌀,조선양조,https://dbscthumb-phinf.pstatic.net/3002_000_1/20140522150223545_0EMRSSLA2.jpg/256_d1.jpg?type=m251&wm=Y,4
248,송명섭 막걸리,"3,000",500ml,탁주,6,1,3,3,3,"맵고 짠 한식, 고기","국내산쌀, 곡자, 정제수",태인합동주조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181013063235756_GV9IBYQ6O.jpg%2Ffe87_317_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,1
249,술공방 9.0 막걸리,"5,000",500ml,탁주,9,3,2,3,1,무침류,"정제수, 쌀(국내산), 국(쌀, 국내산), 누룩(밀)",아리랑주조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20200824190548442_B3OB01R2H.jpg%2Ffe87_480_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,4
250,술그리다 생탁주,"9,000",500ml,탁주,10,2,1,1,1,"백숙, 양념되지 않은 음식","국내산쌀, 누룩",좋은술,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181013040621700_PPXZ4M93W.jpg%2Ffe87_296_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,2
251,술아 핸드메이드 막걸리,"21,000",450ml,탁주,8,3,4,4,3,"샐러드, 두부","국내산 찹쌀, 누룩, 정제수",술아원,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181013072719976_NO95M1QJO.jpg%2Ffe87_325_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,3
252,술예쁘다 생탁주,"18,000",500ml,탁주,13,1,3,2,1,홍어무침,"국내산 쌀, 누룩",좋은술,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181013041250159_I7F6QEQ6P.jpg%2Ffe87_297_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,1
253,술취한 원숭이,"7,000",375ml,탁주,10.8,4,2,2,2,생선찜,"쌀(국내산 경기미 100%), 누룩, 홍국, 정제수",술샘,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170224110556451_9XTH58QMX.jpg%2Ffe87_064_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,3
254,술헤는밤,"5,900",750ml,탁주,8,2,4,3,2,홍천 산나물 무침,"쌀(국내산), 누룩(국내산)",두루전통양조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20190726182743605_2KW4YLDGV.jpg%2Ffe87_428_i2.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,1
255,아이싱 자몽,"5,000",350ml,탁주,4,3,1,3,1,케잌 같은 디저트 음식,"쌀, 자몽엑기스",국순당,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170424210703971_O0KFCSYQL.jpg%2Ffe87_104_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,4
256,아이원 막걸리,"1,000",750ml,탁주,6,3,3,2,3,"도토리묵, 겉절이, 나물","쌀, 밀, 입국, 누룩, 정제수",이원양조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181012192113640_88TIU6V5T.jpg%2Ffe87_231_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,3
257,안양동동주,"1,100",1700ml,탁주,6,3,3,3,3,"매콤한 요리(꼬막무침, 닭볶음탕)","국내산 햅쌀, 국내산 친환경 햇찹쌀",안양주조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20200824181020194_QH4YPKS24.jpg%2Ffe87_459_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,3
258,야관문 쌀 막걸리,"1,500",750ml,탁주,6,1,3,1,2,야채 샐러드,"팽화미, 입국, 효모, 곡자(밀), 정제수, 야관문잎 줄기 추출액 등",지리산 운봉주조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170523190623083_YODHLWOOD.jpg%2Ffe87_228_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
259,양촌 생 동동주,"2,300",750ml,탁주,10,3,1,2,2,김치전,"정제수, 백미 효소제, 효모 등",양촌양조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170224173651762_0RT14ZQ2Y.jpg%2Ffe87_073_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,2
260,양촌 생 막걸리,"30,000",750ml,탁주,6,2,3,2,2,두부에 겉절이 김치,"팽화미, 소맥분, 정제수, 물엿, 효소, 국 등",양촌양조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170113201813816_EM4S2IAYG.jpg%2Ffe87_074_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,1
261,영일만친구 막걸리,"15,000",750ml,탁주,6,2,2,2,3,우뭇가사리 무침,"국내산 쌀, 물엿, 우뭇가사리, 효모, 조제 종국, 정제효소제, 아스파탐, 젖산",동해명주,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20190726155506629_T0UKWWUJW.jpg%2Ffe87_375_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
262,옛날막걸리 古,"2,700",750ml,탁주,8,2,2,2,1,오리주물럭,"국내산쌀, 누룩",국순당,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170424210707084_FAGZHBP04.jpg%2Ffe87_105_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,2
263,오곡 진상주,,750ml,탁주,7,1,4,3,3,백설기,"쌀, 밀, 보리, 옥수수, 조 등",대강양조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170113200411481_59P7SS49K.jpg%2Ffe87_050_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,1
264,오매백주,"5,000",500ml,탁주,12,5,1,1,1,견과류,"쌀(국내산), 국, 효모, 정제수",오산양조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20200824191550561_8K2FAWU49.jpg%2Ffe87_484_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
